GTS_USER_LANGUAGE_ID,GTS_USER_ID,GTS_LANGUAGE_ID,GTS_USER_LANGUAGE_CAN_READ,GTS_USER_LANGUAGE_CAN_WRITE,GTS_USER_LANGUAGE_CAN_SPEAK,GTS_USER_PROFICIENCY
1,387,941,FALSE,FALSE,FALSE,Proficient
2,128,280,FALSE,FALSE,TRUE,Proficient
3,295,173,TRUE,FALSE,FALSE,Native
4,61,505,TRUE,FALSE,TRUE,Intermediate
5,589,236,FALSE,FALSE,FALSE,Proficient
6,770,640,TRUE,FALSE,TRUE,Native
7,605,9,FALSE,TRUE,TRUE,Beginner
8,950,349,TRUE,FALSE,TRUE,Fluent
9,771,590,FALSE,FALSE,TRUE,Fluent
10,935,645,FALSE,TRUE,TRUE,Beginner
11,971,454,TRUE,FALSE,TRUE,Fluent
12,247,343,TRUE,FALSE,TRUE,Native
13,985,813,TRUE,TRUE,FALSE,Proficient
14,899,491,FALSE,FALSE,TRUE,Proficient
15,387,604,FALSE,TRUE,FALSE,Beginner
16,834,559,TRUE,TRUE,TRUE,Fluent
17,806,712,TRUE,FALSE,TRUE,Proficient
18,867,712,FALSE,FALSE,TRUE,Native
19,764,444,TRUE,FALSE,TRUE,Proficient
20,162,9,FALSE,TRUE,TRUE,Fluent
21,85,208,TRUE,FALSE,TRUE,Proficient
22,73,151,TRUE,FALSE,TRUE,Proficient
23,380,337,FALSE,FALSE,FALSE,Native
24,934,298,TRUE,FALSE,TRUE,Beginner
25,925,385,FALSE,FALSE,TRUE,Native
26,98,584,TRUE,FALSE,TRUE,Beginner
27,41,813,TRUE,TRUE,TRUE,Fluent
28,878,660,TRUE,FALSE,FALSE,Proficient
29,462,916,TRUE,TRUE,TRUE,Beginner
30,544,562,FALSE,FALSE,TRUE,Beginner
31,112,875,FALSE,FALSE,FALSE,Proficient
32,167,632,TRUE,TRUE,TRUE,Proficient
33,818,105,FALSE,FALSE,FALSE,Native
34,831,258,TRUE,TRUE,FALSE,Native
